word,clicks,impressions,cost,convertedClicks,Cost/Converted Click,,word,clicks,impressions,cost,convertedClicks
died,498,1341,289.63,1,$289.63 ,,can,216,323,173.24,0
medals,323,10294,212.18,1,$212.18 ,,deaths,245,1300,130.39,0
1812,446,11844,185.85,1,$185.85 ,,lookup,88,248,112.74,0
facts,391,4699,178.5,1,$178.50 ,,memorial,226,1480,111.84,0
did,637,1584,332.89,2,$166.45 ,,first,178,964,100.95,0
marine,451,1021,328.23,2,$164.11 ,,south,215,3196,100.54,0
silver,314,2011,159.85,1,$159.85 ,,with,155,354,99.75,0
casualties,495,5049,310.15,2,$155.08 ,,ll,131,566,95.17,0
battles,339,3009,155.03,1,$155.03 ,,members,132,204,93.16,0
many,280,808,153.24,1,$153.24 ,,3rd,143,329,90.8,0
archives,287,1894,299.29,2,$149.65 ,,kia,137,254,84.32,0
number,169,317,139.66,1,$139.66 ,,family,100,156,81.94,0
f,194,294,131.84,1,$131.84 ,,museum,127,1838,81.24,0
wwll,206,289,129.67,1,$129.67 ,,honor,128,720,78.87,0
frank,194,272,126.82,1,$126.82 ,,vs,147,2787,76.88,0
vets,565,1984,379.6,3,$126.53 ,,nc,132,243,75.25,0
about,236,1041,121.82,1,$121.82 ,,fighter,112,506,72.81,0
pictures,215,3068,118.7,1,$118.70 ,,last,134,552,72.13,0
lee,175,384,116.05,1,$116.05 ,,michigan,117,286,71.56,0
virginia,214,374,113.71,1,$113.71 ,,div,108,164,64.31,0
walter,150,228,112.37,1,$112.37 ,,games,110,2604,63.13,0
11,313,1411,223.09,2,$111.55 ,,sailors,105,310,62.58,0
normandy,160,594,105.74,1,$105.74 ,,tank,107,166,62.54,0
seabees,159,1626,104.7,1,$104.70 ,,living,82,231,62.29,0
st,122,210,103.54,1,$103.54 ,,dates,108,1040,62.19,0
texas,168,255,103.07,1,$103.07 ,,org,86,289,61.98,0
when,187,1997,101.17,1,$101.17 ,,state,95,352,61.65,0
vietnam,2806,58885,1295.07,13,$99.62 ,,after,99,223,61.36,0
airborne,312,1237,196.02,2,$98.01 ,,aircraft,99,592,60.89,0
you,115,202,97.27,1,$97.27 ,,wars,120,5152,59.13,0
i,937,17981,675.59,7,$96.51 ,,inf,108,190,58.19,0
york,164,393,92.65,1,$92.65 ,,lost,93,261,56.54,0
the,4692,36447,2278.85,25,$91.15 ,,background,33,243,56.28,0
by,259,713,180.95,2,$90.48 ,,named,98,127,56.16,0
usn,133,327,88.43,1,$88.43 ,,public,41,137,55.67,0
albert,113,181,88.39,1,$88.39 ,,mo,58,128,53.67,0
veteran,1762,5295,1290.86,15,$86.06 ,,davis,92,149,53.44,0
out,149,198,85.77,1,$85.77 ,,bulge,89,560,52.72,0
pfc,142,231,85.61,1,$85.61 ,,jones,78,137,52.43,0
national,210,2359,168.46,2,$84.23 ,,flight,80,364,51.76,0
german,365,13086,252.53,3,$84.18 ,,third,80,754,51.65,0
c,276,421,167.61,2,$83.81 ,,patches,75,14490,51.07,0
uss,287,513,165.18,2,$82.59 ,,serve,93,141,50.52,0
co,302,439,164.92,2,$82.46 ,,start,98,352,50.37,0
second,130,2056,82.06,1,$82.06 ,,crew,87,124,49.89,0
day,242,2451,162.34,2,$81.17 ,,tn,82,122,49.71,0
lt,128,178,79.99,1,$79.99 ,,fred,68,116,49.64,0
unit,126,203,79.77,1,$79.77 ,,forces,58,180,49.43,0
ww11,628,1039,397.88,5,$79.58 ,,camp,85,136,49.18,0
enlistment,342,1212,391.52,5,$78.30 ,,k,77,115,48.47,0
