word,clicks,impressions,cost,convertedClicks
sired,1,3,0.34,0,
jeb,1,1,0.7,0,
dinan,1,1,0.08,0,
treason,1,1,0.85,0,
jeannette,1,3,0.9,0,
grandad,1,1,0.32,0,
jed,1,1,0.28,0,
champions,1,1,0.44,0,
jep,1,1,0.6,0,
identifcatio,1,1,0.86,0,
jer,1,1,0.62,0,
transporation,1,1,0.77,0,
hmcs,1,1,0.19,0,
hurston,1,1,0.47,0,
jew,2,3,1.33,0,
muhs,1,3,0.51,0,
ww2swst,1,2,0.61,0,
enoch,4,6,2.62,0,
jet,4,6,2.64,0,
arthur,112,153,72.37,2,
wallingford,1,1,0.43,0,
tozier,1,1,0.3,0,
jakubowsi,1,1,1.12,0,
roszell,1,1,0.27,0,
&,112,17374,64.63999999999999,1,
cicil,3,9,1.1199999999999999,0,
petzoldt,1,3,0.99,0,
rodrick,1,1,0.6,0,
coolest,1,1,0.28,0,
jfk,1,1,0.58,0,
*,14,19,3.789999999999999,0,
answer,3,3,1.0599999999999998,0,
torpedoed,1,2,1.23,0,
overton,4,5,3.0100000000000002,0,
waorl,1,1,0.92,0,
missippippi,1,3,0.96,0,
ttjbca,1,1,0.18,0,
3,108,1902,55.589999999999996,1,
2,5943,32320,3562.4100000000094,63,
1,1322,5706,843.8800000000008,12,
revotutionary,1,1,0.35,0,
0,4,5,2.71,1,
roundup,1,1,0.05,0,
7,32,78,19.34,0,
6,38,72,19.99,1,
5,81,156,47.19,2,
salient,1,2,0.73,0,
4,42,65,27.880000000000003,0,
payments,2,2,1.62,0,
keron,1,1,0.34,0,
9,20,29,11.98,1,
callahans,1,1,0.58,0,
8,30,77,17.900000000000006,1,
?,1,9,0.3,0,
mugs,2,2,1.49,0,
amercankoreansin,1,1,0.39,0,
carline,1,4,0.34,0,
lorson,1,1,0.34,0,
geller,2,2,1.96,0,
eppes,1,1,0.43,0,
brunken's,1,2,1.07,0,
fijalkowski,1,1,0.54,0,
carmichaels,1,1,1.14,0,
drawing,1,3,0.87,0,
relief,3,5,1.58,0,
givand,1,2,1.28,0,
teaford,1,4,0.49,0,
times,10,165,5.93,0,
hellsmarck,1,1,0.22,0,
swords,13,33,7.04,0,
heenan,2,5,1.2,0,
strasbourg,1,1,1.2,0,
jha,1,1,0.84,0,
f,194,294,131.84000000000006,1,
g,153,231,90.28000000000004,2,
d,374,2455,245.85999999999981,4,
e,346,610,219.25,5,
lafreniere,1,1,0.51,0,
b,336,502,206.74999999999994,5,
melbourne,2,2,1.1,0,
c,276,421,167.61000000000004,2,
grubbs,1,1,0.8,0,
airborne,312,1237,196.0199999999999,2,
a,1082,6029,661.5599999999998,11,
n,58,86,40.030000000000015,0,
o,101,164,70.50999999999998,1,
wartime,23,75,14.520000000000001,0,
trumbull,3,6,2.06,0,
l,216,327,140.67999999999998,3,
m,202,309,140.82999999999996,4,
j,318,489,214.05999999999995,3,
lingrel,1,2,0.3,0,
brays,1,1,0.81,0,
k,77,115,48.47,0,
h,228,353,146.17000000000002,4,
i,937,17981,675.5899999999998,7,
w,254,442,154.91000000000003,2,
v,77,199,50.63999999999997,1,
royer,2,2,1.46,1,
11087643,1,1,1.15,0,
753rd,1,1,0.45,0,
u,30,99,16.75,0,
palisades,1,1,0.14,0,
t,124,177,76.16000000000003,2,
slater,2,3,0.89,0,
s,183,295,105.47999999999995,5,
r,159,295,95.72999999999998,4,
q,7,7,3.9899999999999998,0,
slates,1,1,0.97,0,
p,134,242,83.85999999999996,5,
464th,1,1,0.33,0,
z,20,502,11.860000000000001,0,
muir,2,4,1.75,0,
y,5,8,2.84,0,
braxton,3,4,1.85,0,
invaded,3,3,2.13,0,
x,7,45,4.72,0,
invades,1,3,1.0,0,
illusionist,1,1,0.68,0,
hampden,2,4,1.38,0,
holster,5,33,3.54,0,
drop,4,4,2.56,0,
britton,3,4,1.4,0,
musser,2,2,1.3499999999999999,0,
herlihy,2,3,0.86,0,
